ORGANISATION_NAME,REGISTRATION_NO,ORGANISATION_TYPE_CODE,ORGANISATION_TYPE,ORGANISATION_SUB_TYPE,NAME_STATUS_CODE,NAME_STATUS,REGISTRATION_DATE,ORGANISATION_STATUS,ORGANISATION_STATUS_DATE,ADDRESS_SEQ_NO
CYPRUS MINES CORPORATION,1,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,20/06/1923,Διαγραμμένη,16/08/1974,
OTTOMAN BANK,6,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,27/07/1923,Διαγραμμένη,21/08/1985,
ROYAL INSURANCE PUBLIC LIMITED COMPANY,9,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,29/12/1923,Διαγραμμένη,01/01/1986,
THE SUN INSURANCE OFFICE LIMITED,11,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,02/07/1924,Εγγεγραμμένη,,281510
ALLIANCE ASSURANCE COMPANY LIMITED,14,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,22/01/1925,Διαγραμμένη,23/03/1970,
CALEDONIAN INSURANCE COMPANY,15,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,13/02/1925,Διαγραμμένη,01/07/1973,
NORTHERN ASSURANCE COMPANY LIMITED,16,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,05/04/1925,Διαγραμμένη,01/04/1969,
LIVERPOOL & LONDON & GLOBE INSURANCE COMPANY LIMITED,17,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,24/02/1925,Διαγραμμένη,31/12/1967,
THE GENERAL INSURANCE CO.LTD.OF TRIESTE - VENICE LIMITED,18,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,08/04/1925,Διαγραμμένη,01/01/1977,
THE CENTRAL INSURANCE COMPANY LIMITED,19,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,25/08/1925,Διαγραμμένη,01/01/1967,
EAGLE STAR INSURANCE COMPANY LIMITED,22,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,01/09/1925,Διαγραμμένη,30/12/1974,
ATLAS ASSURANCE COMPANY LIMITED,24,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,15/05/1926,Διαγραμμένη,01/07/1973,
IONIAN BANK LIMITED,25,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,20/12/1926,Διαγραμμένη,01/01/1900,
NORWICH UNION INSURANCE LIMITED,26,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,19/09/1927,Διαγραμμένη,12/07/2016,280057
THE EMPLOYER'S LIABILITY ASSURANCE CORP. LIMITED,28,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,28/05/1928,Διαγραμμένη,01/05/1969,
TRAGASOL PRODUCTS LIMITED,30,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,08/08/1928,Διαγραμμένη,30/09/1964,
GUARDIAN ASSURANCE COMPANY LIMITED,34,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,21/05/1929,Διαγραμμένη,01/01/1973,
SINGER SEWING MACHINE CO.,35,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,24/10/1929,Εγγεγραμμένη,,12
LICENSES & GENERAL INSURANCE CO. LIMITED,36,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,19/11/1929,Διαγραμμένη,02/11/1970,
THE PERFORMING RIGHT SOCIETY LIMITED,37,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,27/10/1930,Εγγεγραμμένη,,743755
Y.K.K. ZIPPER MIDDLE EAST S.A.L.,39,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,10/03/1931,Διαγραμμένη,01/01/1900,
THE LEGAL & GENERAL ASS. SOCIETY LIMITED,42,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,20/10/1931,Εγγεγραμμένη,,278522
LA NATIONALE LIMITED,50,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,22/09/1933,Διαγραμμένη,25/09/1959,
THE CENTURY INSURANCE COMPANY LIMITED,51,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,14/10/1933,Διαγραμμένη,31/12/1985,
THE PRUDENTIAL ASSURANCE CO. LIMITED,53,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,09/05/1934,Εγγεγραμμένη,,240111
PEARL ASSURANCE COMPANY LIMITED,55,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,12/06/1934,Διαγραμμένη,01/01/1974,
CABLE THE WIRELESS LIMITED,59,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,12/02/1935,Διαγραμμένη,01/11/1961,
THE MOTOR UNION INSURANCE COMPANY LIMITED,60,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,01/05/1935,Διαγραμμένη,01/07/1973,
THE NATIONAL INSURANCE OF GREAT BRITAIN LIMITED,68,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,25/07/1936,Διαγραμμένη,01/08/2016,12
BARCLAYS BANK PLC,69,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,01/04/1937,Διαγραμμένη,31/03/2017,491669
HULL BLYTH & COMPANY LIMITED,71,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,13/10/1937,Διαγραμμένη,03/05/1958,
GRESHAM INSURANCE COMPANY LIMITED,73,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,13/04/1938,Διαγραμμένη,12/07/2016,12
WESTERN ASSURANCE COMPANY,75,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,30/11/1938,Διαγραμμένη,31/12/1967,
NATIONAL EMPLOYERS LIFE ASSURANCE COMPANY,76,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,24/01/1939,Διαγραμμένη,29/04/1975,
ZION INSURANCE COMPANY LIMITED,78,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,16/09/1939,Διαγραμμένη,10/07/1969,
B.P. (EGYPT) LIMITED,79,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,30/10/1939,Διαγραμμένη,30/08/1974,
THE LONDON ASSURANCE,81,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,10/07/1943,Διαγραμμένη,18/04/1972,
THE YORKSHIRE INSURANCE CO. LIMITED,84,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,24/04/1944,Διαγραμμένη,17/02/1969,
THE BRITISH LAW INSURANCE CO. LIMITED,85,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,27/04/1944,Διαγραμμένη,17/02/1969,
UNITED BRITISH INSURANCE CO. LIMITED,86,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,28/07/1944,Διαγραμμένη,31/12/1963,
L. SAVON & COMPANY LIMITED,87,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,23/08/1944,Διαγραμμένη,30/06/1960,
BARCLAYS OVERSEAS DEVELOPMENT CORPORATION LIMITED,91,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,29/06/1946,Διαγραμμένη,12/07/2016,75869
THE MERCHANTS MARINE INSURANCE CO. LIMITED,96,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,23/04/1947,Διαγραμμένη,01/05/1969,
THE LEGAL INSURANCE COMPANY LIMITED,97,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,03/06/1947,Διαγραμμένη,01/01/1967,
THE STATE ASSURANCE COMPANY LIMITED,99,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,03/07/1947,Διαγραμμένη,03/10/1963,
WARDEN INSURANCE COMPANY LIMITED,100,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,29/08/1947,Διαγραμμένη,01/01/1968,
THE MANUFACTURERS LIFE INSURANCE CO.,101,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,11/11/1947,Εγγεγραμμένη,,241644
SCOTTISH UNION & NATIONAL INS. CO.,102,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,24/02/1948,Διαγραμμένη,01/01/1968,
W.F. HENRY VAN DER ZEE & CO (LONDON) LIMITED,104,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,12/07/1948,Διαγραμμένη,01/03/1966,
ASTIR INSURANCE COMPANY S.A.,106,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,10/09/1948,Διαγραμμένη,09/09/1997,
THE BRITISH CROWN ASSURANCE CORPOR. LIMITED,108,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,30/11/1948,Διαγραμμένη,16/10/1968,
EKO CYPRUS LIMITED,109,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,01/01/1949,Εγγεγραμμένη,,514484
MULFORD & COMPANY (LEVANT) LIMITED,110,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,22/01/1949,Διαγραμμένη,14/02/1963,
THE DOMINION INSURANCE COMPANY LIMITED,112,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,08/06/1949,Διαγραμμένη,24/02/1958,
FREDERICK E. ROSE (MIDDLE EAST) LIMITED,113,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,15/01/1949,Διαγραμμένη,28/10/1960,
THAMES AND MERSEY  MARINE INS. CO. LIMITED,114,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,20/08/1949,Διαγραμμένη,29/03/1969,
THE WORLD MARINE & GENERAL INS. CO. LIMITED,116,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,27/04/1950,Διαγραμμένη,14/03/1969,
RUBY GENERAL INSURANCE CO. LIMITED,117,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,17/05/1950,Διαγραμμένη,28/08/1961,
GRESHAM LIFE ASSURANCE SOCIETY LIMITED,119,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,11/07/1950,Διαγραμμένη,01/11/1974,
ESSO STANDARD (NEAR EAST) INC,120,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,11/08/1950,Διαγραμμένη,31/10/1978,
JOHN DICKINSON & COMPANY LIMITED,121,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,05/09/1950,Διαγραμμένη,31/12/1962,
DOGAN INSURANCE COMPANY LIMITED,122,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,18/09/1950,Εγγεγραμμένη,,281655
THE CYPRUS AGRICULTURAL INSURANCE CO. LIMITED,123,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,20/10/1950,Διαγραμμένη,06/08/1971,
GUVEN TURKISH ANOMYME INS. SOCIETY LIMITED,124,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,20/10/1950,Εγγεγραμμένη,,281645
LONDON & EDINBURGH INSURANCE CO. LIMITED,126,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,06/02/1951,Διαγραμμένη,06/02/1958,
CYPRUS TRAVEL (LONDON) LIMITED,128,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,30/03/1951,Διαγραμμένη,11/08/1964,
BRITISH INSULATED CALLENDERS CONSTRUCTION CO. LIMITED,129,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,29/05/1951,Διαγραμμένη,21/01/1958,
GEORGE WIMPEY AND COMPANY LIMITED,130,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,29/06/1951,Διαγραμμένη,31/12/1957,
BRITISH COMMONWEALTH INS. CO. LIMITED,132,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,26/09/1951,Διαγραμμένη,01/01/1970,
LONDON & LANCASHIRE INSURANCE CO.  LIMITED,133,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,10/10/1951,Διαγραμμένη,01/01/1968,
LAW UNION AND ROCK INS. COMPANY LIMITED,134,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,09/11/1951,Διαγραμμένη,31/12/1966,
NATIONAL INSURANCE CO. OF EGYPT,135,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,09/01/1951,Διαγραμμένη,14/03/1958,
THE BRITISH FIRE INSURANCE COMPANY LIMITED,136,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,09/11/1951,Διαγραμμένη,31/12/1967,
THE GENERAL INSURANCE COMPANY OF CYPRUS (U.K.) LTD,137,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,09/01/1952,Διαγραμμένη,29/07/1978,
THE SOUTH BRITISH INSURANCE CO. LIMITED,138,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,26/02/1952,Διαγραμμένη,08/01/1971,
L' UNION DES ASSURANCES DE PARIS,139,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,01/04/1952,Διαγραμμένη,26/06/1972,
CORNHILL INSURANCE COMPANY LIMITED,140,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,25/04/1952,Διαγραμμένη,31/01/1966,
ECONOMIC INSURANCE CO. LIMITED,141,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,29/09/1952,Διαγραμμένη,31/12/1968,
GENERAL INSURANCE CO. HELVETIA LIMITED,142,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,15/09/1952,Διαγραμμένη,31/12/1957,
THE BRITISH OAK INSURANCE CO. LIMITED,143,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,02/05/1953,Διαγραμμένη,02/11/1970,
NATIONAL BANK OF GREECE,144,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,27/05/1953,Εγγεγραμμένη,,172033
BORCHARD LINES LIMITED,145,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,27/05/1953,Διαγραμμένη,05/06/1971,
NATIONAL EMPLOYERS' MUTUAL GENERAL INS. ASSOCIATION LIMITED,148,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,17/10/1953,Διάλυση λόγω Ολοκλήρωσης Εκκαθάρισης,28/09/2001,12
THE CEMENTATION COMPANY LIMITED,149,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,26/10/1953,Διαγραμμένη,30/03/1971,
HELVETIA SWISS FIRE INSURANCE COMPANY LIMITED,150,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,02/11/1953,Διαγραμμένη,19/10/1967,
LAMBERT BROTHERS (CYPRUS) LIMITED,151,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,15/03/1954,Διαγραμμένη,01/04/1980,
THE SENTINEL INSURANCE CO. LIMITED,152,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,01/06/1954,Διαγραμμένη,01/03/1962,
TILEMAN AND COMPANY LIMITED,153,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,21/06/1954,Διαγραμμένη,28/03/1959,
THE NATIONAL INS. AND GUARANTEE CORPORATION LIMITED,154,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,14/07/1954,Διαγραμμένη,01/03/1962,
GENERAL ACCIDENT FIRE & LIFE ASSURANCE CORP. LIMITED,155,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,19/07/1954,Διαγραμμένη,12/07/2016,279467
THE AMERICAN INSURANCE COMPANY,156,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,30/07/1954,Διαγραμμένη,19/04/1972,
THE ARMY KINEMA CORPORATION,157,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,21/10/1954,Διαγραμμένη,01/01/1900,
NORDSTERN GENERAL INSURANCE JOINT STOCK CO,158,O,Αλλοδαπή Εταιρεία,,ACR,Τελευταίο Όνομα,30/10/1954,Διαγραμ