MONTH,REVENUE_IN_MILLION_EUROS,REVENUE_PER_CAPITA_IN_EUROS
Ιαν-01,42.54,662.55
Φεβ-01,49.72,594.97
Μαρ-01,84.92,617.24
Απρ-01,153.60,647.49
Μαϊ-01,237.67,731.50
Ιουν-01,268.93,833.04
Ιουλ-01,328.02,878.51
Αυγ-01,350.19,942.56
Σεπ-01,301.23,914.47
Οκτ-01,222.46,824.71
Νοε-01,83.38,775.96
Δεκ-01,49.89,666.22
Ιαν-02,36.91,682.59
Φεβ-02,49.38,686.29
Μαρ-02,100.98,728.43
Απρ-02,131.56,728.95
Μαϊ-02,204.18,731.64
Ιουν-02,238.04,811.89
Ιουλ-02,274.55,838.56
Αυγ-02,262.72,870.73
Σεπ-02,268.87,876.58
Οκτ-02,218.77,793.10
Νοε-02,87.84,788.99
Δεκ-02,61.26,787.14
Ιαν-03,43.81,735.91
Φεβ-03,53.70,688.67
Μαρ-03,64.64,705.43
Απρ-03,114.57,674.40
Μαϊ-03,158.08,682.76
Ιουν-03,196.12,748.26
Ιουλ-03,260.42,818.59
Αυγ-03,282.42,867.95
Σεπ-03,229.13,797.39
Οκτ-03,192.08,706.39
Νοε-03,83.16,671.72
Δεκ-03,56.18,669.05
Ιαν-04,37.22,658.79
Φεβ-04,43.42,573.46
Μαρ-04,71.85,641.87
Απρ-04,123.13,643.84
Μαϊ-04,169.98,649.66
Ιουν-04,186.75,705.21
Ιουλ-04,230.83,754.45
Αυγ-04,253.04,827.08
Σεπ-04,241.25,794.94
Οκτ-04,198.03,709.99
Νοε-04,73.64,645.78
Δεκ-04,49.21,625.09
Ιαν-05,35.36,600.42
Φεβ-05,40.11,552.48
Μαρ-05,81.33,593.33
Απρ-05,105.87,576.76
Μαϊ-05,180.07,633.74
Ιουν-05,193.62,685.03
Ιουλ-05,239.38,706.18
Αυγ-05,275.62,818.88
Σεπ-05,235.61,778.03
Οκτ-05,205.84,704.23
Νοε-05,73.65,702.44
Δεκ-05,51.83,685.10
Ιαν-06,36.20,659.64
Φεβ-06,39.42,595.91
Μαρ-06,66.46,620.68
Απρ-06,127.22,615.92
Μαϊ-06,191.13,674.15
Ιουν-06,201.05,717.65
Ιουλ-06,264.86,775.71
Αυγ-06,264.84,841.08
Σεπ-06,240.76,811.91
Οκτ-06,209.92,741.65
Νοε-06,64.27,671.67
Δεκ-06,49.14,691.85
Ιαν-07,33.64,648.84
Φεβ-07,38.53,610.69
Μαρ-07,68.50,656.62
Απρ-07,123.66,653.20
Μαϊ-07,204.61,749.39
Ιουν-07,207.45,734.36
Ιουλ-07,287.27,815.12
Αυγ-07,305.96,898.55
Σεπ-07,263.04,833.90
Οκτ-07,206.30,749.91
Νοε-07,67.77,715.39
Δεκ-07,51.37,696.58
Ιαν-08,35.28,696.36
Φεβ-08,40.64,579.36
Μαρ-08,67.32,622.35
Απρ-08,107.77,591.85
Μαϊ-08,191.31,704.48
Ιουν-08,229.58,747.24
Ιουλ-08,272.92,796.71
Αυγ-08,278.01,847.32
Σεπ-08,247.39,810.20
Οκτ-08,198.61,741.44
Νοε-08,72.39,739.46
Δεκ-08,51.58,715.19
Ιαν-09,31.20,662.91
Φεβ-09,36.27,640.48
Μαρ-09,57.36,634.24
Απρ-09,107.44,592.28
Μαϊ-09,158.14,641.42
Ιουν-09,175.36,672.06
Ιουλ-09,232.53,764.60
Αυγ-09,234.76,805.12
Σεπ-09,200.25,725.06
Οκτ-09,156.26,678.14
Νοε-09,61.00,680.30
Δεκ-09,42.67,644.61
Ιαν-10,29.66,645.44
Φεβ-10,33.93,614.16
Μαρ-10,65.57,631.68
Απρ-10,89.04,637.59
Μαϊ-10,164.77,638.60
Ιουν-10,195.30,709.47
Ιουλ-10,231.10,754.98
Αυγ-10,241.09,792.38
Σεπ-10,220.52,762.72
Οκτ-10,175.52,726.20
Νοε-10,62.42,673.77
Δεκ-10,40.87,667.78
Ιαν-11,29.77,669.97
Φεβ-11,36.92,592.60
Μαρ-11,66.45,671.44
Απρ-11,136.70,684.30
Μαϊ-11,187.10,699.48
Ιουν-11,219.97,731.24
Ιουλ-11,274.44,764.25
Αυγ-11,267.00,792.25
Σεπ-11,235.79,774.97
Οκτ-11,188.76,726.38
Νοε-11,64.76,697.24
Δεκ-11,41.64,637.34
Ιαν-12,30.00,629.59
Φεβ-12,32.30,583.70
Μαρ-12,62.51,662.78
Απρ-12,114.64,604.50
Μαϊ-12,214.31,774.30
Ιουν-12,254.46,771.13
Ιουλ-12,301.54,811.80
Αυγ-12,312.08,858.38
Σεπ-12,289.86,864.36
Οκτ-12,211.52,807.34
Νοε-12,62.83,747.76
Δεκ-12,41.59,759.33
Ιαν-13,30.90,730.47
Φεβ-13,28.30,669.67
Μαρ-13,66.00,712.74
Απρ-13,110.40,679.58
Μαϊ-13,202.10,731.76
Ιουν-13,259.80,843.00
Ιουλ-13,338.60,936.81
Αυγ-13,349.50,992.17
Σεπ-13,353.40,987.98
Οκτ-13,246.60,901.47
Νοε-13,59.20,725.51
Δεκ-13,37.60,686.27
Ιαν-14,30.70,755.73
Φεβ-14,31.30,692.52
Μαρ-14,56.50,728.22
Απρ-14,132.90,734.21
Μαϊ-14,224.10,764.27
Ιουν-14,303.20,886.00
Ιουλ-14,321.20,840.97
Αυγ-14,324.30,869.18
Σεπ-14,273.40,863.61
Οκτ-14,217.10,863.54
Νοε-14,65.00,798.61
Δεκ-14,43.70,767.93
Ιαν-15,28.40,679.20
Φεβ-15,30.90,609.83
Μαρ-15,65.00,667.22
Απρ-15,130.50,647.71
Μαϊ-15,217.10,706.27
Ιουν-15,259.00,768.57
Ιουλ-15,342.10,825.37
Αυγ-15,358.50,914.02
Σεπ-15,321.10,889.81
Οκτ-15,225.00,835.18
Νοε-15,81.90,757.45
Δεκ-15,52.60,671.25
Ιαν-16,29.10,598.39
Φεβ-16,37.60,570.45
Μαρ-16,80.90,590.39
Απρ-16,137.90,611.37
Μαϊ-16,244.70,670.64
Ιουν-16,301.00,728.53
Ιουλ-16,402.20,834.25
Αυγ-16,392.20,855.14
Σεπ-16,337.10,800.22
Οκτ-16,266.00,744.73
Νοε-16,83.80,674.46
Δεκ-16,50.90,578.91
Ιαν-17,35.40,565.48
Φεβ-17,46.60,566.79
Μαρ-17,86.10,611.41
Απρ-17,189.60,662.06
Μαϊ-17,291.50,696.08
Ιουν-17,347.20,734.89
Ιουλ-17,425.70,801.63
Αυγ-17,423.60,809.01
Σεπ-17,371.00,766.89
Οκτ-17,277.10,681.05
Νοε-17,89.50,618.68
Δεκ-17,55.80,564.21
Ιαν-18,38.40,506.49
Φεβ-18,52.70,513.68
Μαρ-18,110.00,544.34
Απρ-18,181.40,577.39
Μαϊ-18,294.70,654.14
Ιουν-18,357.70,699.88
Ιουλ-18,426.60,790.64
Αυγ-18,428.20,800.65
Σεπ-18,378.80,728.23
Οκτ-18,293.80,677.60
Νοε-18,91.90,579.35
Δεκ-18,56.40,528.95
Ιαν-19,39.60,483.26
Φεβ-19,52.40,496.81
Μαρ-19,96.60,568.19
Απρ-19,186.60,566.60
Μαϊ-19,277.60,638.78
Ιουν-19,350.40,687.53
Ιουλ-19,422.00,765.84
Αυγ-19,431.60,779.31
Σεπ-19,377.20,718.81
Οκτ-19,299.40,685.82
Νοε-19,95.00,561.04
Δεκ-19,54.6,494.67
Ιαν-20,40.2,469.98
Φεβ-20,49.5,468.72
Μαρ-20,25.6,461.71
Απρ-20,0,0
Μαϊ-20,0,0
Ιουν-20,6.7,734.73